Model,AUC,AP,Sensitivity,Specificity,PPV,NPV,Brier,TP,TN,FP,FN,AUC_pooled,AUC_std
Logistic Regression,0.7623995285570755,0.273164195121621,0.7,0.702726473175022,0.24888888888888888,0.9433293978748524,0.19389625519112114,112,799,338,48,0.7586246701846965,0.03694018352549956
Random Forest,0.752751009544787,0.3076042015346804,0.44375,0.8443271767810027,0.2862903225806452,0.9151572926596759,0.13797628969941983,71,960,177,89,0.7497306508355321,0.0398362576296606
XGBoost,0.715674028132004,0.28034772958199217,0.20625,0.9287598944591029,0.2894736842105263,0.8926458157227388,0.11512716526796378,33,1056,81,127,0.7129177660510115,0.039527691963695925
SVM (RBF),0.7235819276992039,0.25165389297424584,0.48125,0.802990325417766,0.2558139534883721,0.9166666666666666,0.16199318960874545,77,913,224,83,0.7188874230430958,0.04869082118766345
Stacking Ensemble,0.7248467568977509,0.27839564071801826,0.24375,0.9199648197009674,0.3,0.8963153384747216,0.12187804435596579,39,1046,91,121,0.7172768249780123,0.040448751479588645
