target,top_feature,rho_min,rho_max,top5_overlap
Overall_Survival,Age (yrs),0.8622247317899493,0.9559570863918693,0.7333333333333334
Relapse_Free,LN Positive (count),0.7470355731225299,0.7865612648221344,0.8000000000000002
NPI_High_Risk,LN Positive (count),0.9744360902255638,0.9849624060150375,1.0
Vital_Disease,LN Positive (count),0.7651044607566347,0.8531902879728968,0.6666666666666666
Luminal_Subtype,ER Status,0.8701298701298703,0.9401468097120271,0.8666666666666667
HER2_Positive,Histologic Grade,0.49323308270676686,0.6571428571428571,0.4666666666666666
