Model,AUC,AP,Sensitivity,Specificity,PPV,NPV,Brier,TP,TN,FP,FN,AUC_pooled,AUC_std
Logistic Regression,0.997128903359479,0.9623922603343137,0.9926470588235294,0.9767441860465116,0.8333333333333334,0.9991189427312775,0.016501742292033834,135,1134,27,1,0.9967383594264579,0.0031201859377198373
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.0045298514904145645,136,1161,0,0,1.0,0.0
XGBoost,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,2.916368255893308e-05,136,1161,0,0,1.0,4.965068306494546e-17
SVM (RBF),0.9923289624007398,0.9539669729356118,0.8382352941176471,0.9879414298018949,0.890625,0.981180496150556,0.019039838060160307,114,1147,14,22,0.9923873942341794,0.0047669175951953364
Stacking Ensemble,1.0,1.0,1.0,1.0,1.0,1.0,0.00024182163531124868,136,1161,0,0,1.0,0.0
