target,n,positive,AUC,SD
Overall_Survival,1981,1144,0.7341211622731925,0.03641654224459747
Relapse_Free,2488,1002,0.6448168790985079,0.031467372130181644
NPI_High_Risk,2287,252,0.9776216216216216,0.00468219838605985
Vital_Disease,1980,646,0.6747350181514638,0.028345829690532433
Luminal_Subtype,1980,1175,0.8513757103211311,0.039280277625186044
HER2_Positive,1980,247,0.7467805368586774,0.032072525757762815
