Model,AUC,AP,Sensitivity,Specificity,PPV,NPV,Brier,TP,TN,FP,FN,AUC_pooled,AUC_std
Logistic Regression,0.7403608569029826,0.7695664324823813,0.7350543478260869,0.6185383244206774,0.7165562913907285,0.6402214022140221,0.2048644879218002,541,347,214,195,0.7382028404247074,0.03218256490527886
Random Forest,0.7493331874212766,0.781140424148231,0.7703804347826086,0.5989304812834224,0.7159090909090909,0.6653465346534654,0.2011053737861748,567,336,225,169,0.7472075292567619,0.02864423898922115
XGBoost,0.751709742392874,0.7810483773614962,0.7404891304347826,0.6345811051693404,0.7266666666666667,0.6508226691042047,0.20380119299881222,545,356,205,191,0.7506418081066418,0.02252481468109777
SVM (RBF),0.7521037492541691,0.76932509986621,0.7975543478260869,0.5918003565062389,0.7193627450980392,0.6902286902286903,0.19960760590472715,587,332,229,149,0.7487551344648531,0.03425647300229084
Stacking Ensemble,0.7599086249714974,0.779943463441487,0.7785326086956522,0.5989304812834224,0.7180451127819549,0.6733466933867736,0.1973763714074395,573,336,225,163,0.757437708284895,0.03006819896959801
