Model,AUC,AP,Sensitivity,Specificity,PPV,NPV,Brier,TP,TN,FP,FN,AUC_pooled,AUC_std
Logistic Regression,0.6545054211843203,0.5964672751526283,0.3882783882783883,0.8453333333333334,0.6463414634146342,0.6549586776859504,0.22452511901679348,212,634,116,334,0.6518485958485958,0.04606116011628559
Random Forest,0.6661785932721713,0.5936619546102315,0.4194139194139194,0.8133333333333334,0.6205962059620597,0.6580366774541532,0.22320797046612353,229,610,140,317,0.6631208791208791,0.036382396615559115
XGBoost,0.6378945788156797,0.5733253435959802,0.45604395604395603,0.7546666666666667,0.5750577367205543,0.6558516801853997,0.23867729853203457,249,566,184,297,0.6372258852258852,0.03577307624819958
SVM (RBF),0.6487526271893245,0.5928590021688006,0.38278388278388276,0.8546666666666667,0.6572327044025157,0.6554192229038854,0.22376924389140287,209,641,109,337,0.6464859584859585,0.03934227902124416
Stacking Ensemble,0.6704574923547402,0.6074652819692978,0.3882783882783883,0.8493333333333334,0.6523076923076923,0.6560247167868177,0.22148858029859744,212,637,113,334,0.6668595848595849,0.03998323777879935
