fold,AUC,runtime_seconds
1,0.6155463565280243,15.946924686431885
2,0.6029081295439525,15.62159252166748
3,0.5843357567746199,15.708081245422363
4,0.5920687376074025,18.09319257736206
5,0.524454725710509,13.761141300201416
