fold,AUC,runtime_seconds
1,0.9950723255444285,25.267929792404175
2,0.9810652709359606,19.80694270133972
3,0.9865900383141762,20.556774377822876
4,0.9484355044699871,13.717166900634766
5,0.9942528735632183,11.228514909744263
