Model,AUC,AP,Sensitivity,Specificity,PPV,NPV,Brier,TP,TN,FP,FN,AUC_pooled,AUC_std
Logistic Regression,0.6696963161373362,0.5244773608572669,0.30112359550561796,0.8954171562867215,0.600896860986547,0.7101584342963654,0.20693375309593726,134,762,89,311,0.6662538454429026,0.030376622801683573
Random Forest,0.6760794363083298,0.5256050587403277,0.31685393258426964,0.8895417156286721,0.6,0.7134778510838832,0.2054915747832971,141,757,94,304,0.6714215925744993,0.04174787818704737
XGBoost,0.657641879539121,0.5038670359319453,0.36404494382022473,0.8425381903642774,0.5472972972972973,0.717,0.21829206002875146,162,717,134,283,0.656346136072565,0.028481183247445974
SVM (RBF),0.668428087182044,0.5280739408230193,0.2786516853932584,0.9071680376028202,0.6108374384236454,0.7063129002744739,0.20576677129154752,124,772,79,321,0.6661640634283527,0.017638635530079987
Stacking Ensemble,0.6828255702044272,0.53684690003498,0.29213483146067415,0.9071680376028202,0.6220095693779905,0.7102115915363385,0.20382283067575693,130,772,79,315,0.6762803839501446,0.03723093438779008
