Target,Trad_AUC_mean,Trad_AUC_std,Trad_Best_Model,MLJAR_AUC_mean,MLJAR_AUC_std,TabNet_AUC_mean,TabNet_AUC_std,Winner
Overall_Survival,0.7599086249714974,0.030068198969598,Stacking Ensemble,0.7454866382094574,0.0310306998814931,0.6504136956914859,0.06412485674070585,Traditional ML
Relapse_Free,0.6704574923547402,0.0399832377787993,Stacking Ensemble,0.6631243814289686,0.04125622616818805,0.5742387545176536,0.04970643374004203,Traditional ML
NPI_High_Risk,1.0,0.0,Random Forest,1.0,0.0,0.9810832025655541,0.017119191267987624,Tie: Traditional ML / MLJAR AutoML
Vital_Disease,0.6828255702044272,0.03723093438779,Stacking Ensemble,0.6793308673755328,0.031590010999417474,0.5838627412329016,0.031506991994152383,Traditional ML
Luminal_Subtype,0.8619371590413525,0.0230817957717915,Stacking Ensemble,0.8532447750562472,0.02787466683526478,0.8176768245830652,0.013787378420960117,Traditional ML
HER2_Positive,0.7623995285570755,0.0369401835254995,Logistic Regression,0.7068105630265091,0.03228356884948666,0.6324625405750057,0.056244070971959007,Traditional ML
