Model,AUC,AP,Sensitivity,Specificity,PPV,NPV,Brier,TP,TN,FP,FN,AUC_pooled,AUC_std
Logistic Regression,0.8533156777731523,0.8651853275130478,0.9802224969097652,0.625,0.8125,0.9501557632398754,0.11982867830925481,793,305,183,16,0.8512178564915196,0.01685653652891262
Random Forest,0.8587334345822502,0.8690922593283406,0.9901112484548825,0.6311475409836066,0.8165137614678899,0.9746835443037974,0.11892744580859134,801,308,180,8,0.8583861881699731,0.022745092225276892
XGBoost,0.8530551285493244,0.8602090071948224,0.9468479604449939,0.6516393442622951,0.8183760683760684,0.8808864265927978,0.12453599397658949,766,318,170,43,0.8508328436239843,0.02542470934453852
SVM (RBF),0.8549823161260027,0.862147868996724,0.9752781211372065,0.6352459016393442,0.8159255429162358,0.9393939393939394,0.12035940016091606,789,310,178,20,0.8489356420596164,0.025919753677993367
Stacking Ensemble,0.8619371590413525,0.872127758399406,0.9728059332509271,0.639344262295082,0.8172377985462098,0.9341317365269461,0.11656421990071354,787,312,176,22,0.8598350523820137,0.023081795771791598
